,production_companies
0,"                                     name   id
0                 Ingenious Film Partners  289
1  Twentieth Century Fox Film Corporation  306
2                      Dune Entertainment  444
3                Lightstorm Entertainment  574"
1,"                      name     id
0     Walt Disney Pictures      2
1  Jerry Bruckheimer Films    130
2  Second Mate Productions  19936"
2,"                name     id
0  Columbia Pictures      5
1             Danjaq  10761
2                B24  69434"
3,"                 name    id
0  Legendary Pictures   923
1        Warner Bros.  6194
2    DC Entertainment  9993
3             Syncopy  9996"
4,"                   name  id
0  Walt Disney Pictures   2"
5,"                       name     id
0         Columbia Pictures      5
1  Laura Ziskin Productions    326
2        Marvel Enterprises  19551"
6,"                            name    id
0           Walt Disney Pictures     2
1  Walt Disney Animation Studios  6125"
7,"                     name     id
0          Marvel Studios    420
1             Prime Focus  15357
2  Revolution Sun Studios  76043"
8,"           name    id
0  Warner Bros.  6194
1  Heyday Films  7364"
9,"                        name     id
0                  DC Comics    429
1        Atlas Entertainment    507
2               Warner Bros.   6194
3           DC Entertainment   9993
4      Cruel & Unusual Films   9995
5  RatPac-Dune Entertainment  41624"
10,"                        name    id
0                  DC Comics   429
1         Legendary Pictures   923
2               Warner Bros.  6194
3  Bad Hat Harry Productions  9168"
11,"              name    id
0  Eon Productions  7576"
12,"                      name     id
0     Walt Disney Pictures      2
1  Jerry Bruckheimer Films    130
2  Second Mate Productions  19936"
13,"                             name     id
0            Walt Disney Pictures      2
1         Jerry Bruckheimer Films    130
2                 Infinitum Nihil   2691
3  Silver Bullet Productions (II)  37380
4          Blind Wink Productions  37381
5                   Classic Media  37382"
14,"                      name     id
0       Legendary Pictures    923
1             Warner Bros.   6194
2         DC Entertainment   9993
3                  Syncopy   9996
4  Cruel and Unusual Films  78685"
15,"                     name     id
0             Walt Disney   5888
1            Walden Media  10221
2         Stillking Films  11345
3             Ozumi Films  11440
4                Propeler  11441
5        Silverbell Films  11442
6  Revolution Sun Studios  76043"
16,"                 name   id
0  Paramount Pictures    4
1      Marvel Studios  420"
17,"                           name     id
0          Walt Disney Pictures      2
1       Jerry Bruckheimer Films    130
2  Moving Picture Company (MPC)  20478"
18,"                           name     id
0          Amblin Entertainment     56
1     Media Magik Entertainment   5627
2      Imagenation Abu Dhabi FZ   6736
3      Hemisphere Media Capital   9169
4  Parkes/MacDonald Productions  11084"
19,"                        name    id
0              WingNut Films    11
1            New Line Cinema    12
2      Warner Bros. Pictures   174
3                     3Foot7  7413
4  Metro-Goldwyn-Mayer (MGM)  8411"
20,"                       name    id
0         Columbia Pictures     5
1  Laura Ziskin Productions   326
2      Marvel Entertainment  7505"
21,"                     name    id
0   Imagine Entertainment    23
1      Universal Pictures    33
2  Scott Free Productions  1645
3        Relativity Media  7295"
22,"                        name    id
0              WingNut Films    11
1            New Line Cinema    12
2      Warner Bros. Pictures   174
3  Metro-Goldwyn-Mayer (MGM)  8411"
23,"                      name    id
0          New Line Cinema    12
1  Ingenious Film Partners   289
2           Depth of Field  1473
3   Scholastic Productions  1938"
24,"                   name  id
0         WingNut Films  11
1    Universal Pictures  33
2  Big Primate Pictures  68
3             MFPV Film  69"
25,"                                     name   id
0                      Paramount Pictures    4
1  Twentieth Century Fox Film Corporation  306
2                Lightstorm Entertainment  574"
26,"                                  name     id
0                    Studio Babelsberg    264
1                       Marvel Studios    420
2  Walt Disney Studios Motion Pictures   3036
3     Vita-Ray Dutch Productions (III)  84424
4               Deluxe Digital Studios  84425"
27,"                 name     id
0  Universal Pictures     33
1              Hasbro   2598
2     Bluegrass Films  13778
3             Film 44  20153"
28,"                      name    id
0        Universal Studios    13
1     Amblin Entertainment    56
2       Legendary Pictures   923
3  Fuji Television Network  3341
4                   Dentsu  6452"
29,"                name  id
0  Columbia Pictures   5"
30,"                       name     id
0         Columbia Pictures      5
1  Laura Ziskin Productions    326
2        Marvel Enterprises  19551"
31,"             name   id
0  Marvel Studios  420"
32,"                     name     id
0    Walt Disney Pictures      2
1               Team Todd    598
2  Tim Burton Productions   8601
3              Roth Films  16314
4     Zanuck Company, The  20004"
33,"                                      name     id
0                  Ingenious Film Partners    289
1   Twentieth Century Fox Film Corporation    306
2                         Donners' Company    431
3                       Dune Entertainment    444
4                    Major Studio Partners    445
5                Bad Hat Harry Productions   9168
6                                thinkfilm  12247
7                       Marvel Enterprises  19551
8                    X3 Canada Productions  79028
9                         X3US Productions  79029
10                             XM3 Service  79030"
34,"                      name  id
0     Walt Disney Pictures   2
1  Pixar Animation Studios   3"
35,"                      name     id
0       Paramount Pictures      4
1           DreamWorks SKG     27
2     Amblin Entertainment     56
3  Di Bonaventura Pictures    435
4           Platinum Dunes   2481
5           Hasbro Studios  22826
6   Revolution Sun Studios  76043"
36,"                      name     id
0       Paramount Pictures      4
1     Amblin Entertainment     56
2  Di Bonaventura Pictures    435
3           Platinum Dunes   2481
4      China Movie Channel  11413
5           Hasbro Studios  22826
6    Ian Bryce Productions  38833
7   Revolution Sun Studios  76043"
37,"                   name     id
0  Walt Disney Pictures      2
1            Roth Films  16314"
38,"                       name     id
0         Columbia Pictures      5
1        Marvel Enterprises  19551
2      Avi Arad Productions  31828
3  Matt Tolmach Productions  53462"
39,"                      name     id
0     Walt Disney Pictures      2
1               LivePlanet   7161
2            Prana Studios  18713
3  Sean Bailey Productions  23791
4   Revolution Sun Studios  76043
5    Kontsept Film Company  76067"
40,"                      name  id
0     Walt Disney Pictures   2
1  Pixar Animation Studios   3"
41,"               name    id
0  De Line Pictures  2609
1      Warner Bros.  6194
2  DC Entertainment  9993"
42,"                      name  id
0     Walt Disney Pictures   2
1  Pixar Animation Studios   3"
43,"                          name    id
0            Columbia Pictures     5
1          The Halcyon Company  4021
2  Wonderland Sound and Vision  4022
3                 Warner Bros.  6194"
44,"                                          name     id
0                           Universal Pictures     33
1                                Original Film    333
2                      Fuji Television Network   3341
3                                       Dentsu   6452
4                               One Race Films   7154
5                               China Film Co.  40890
6        Québec Production Services Tax Credit  86352
7                   Media Rights Capital (MRC)  86655
8                    Abu Dhabi Film Commission  87857
9  Colorado Office of Film, Television & Media  87858"
45,"                       name     id
0        Paramount Pictures      4
1                  GK Films   3281
2      Skydance Productions   6277
3  Hemisphere Media Capital   9169
4     Apparatus Productions  11956
5           Latina Pictures  19108
6                     2DUX²  23644"
46,"                                     name     id
0  Twentieth Century Fox Film Corporation    306
1                        Donners' Company    431
2                    Marvel Entertainment   7505
3               Bad Hat Harry Productions   9168
4                       TSG Entertainment  22213
5                        Down Productions  37336
6                  Revolution Sun Studios  76043"
47,"                   name     id
0    Paramount Pictures      4
1  Skydance Productions   6277
2             Bad Robot  11461
3         Kurtzman/Orci  12536"
